"Num_of_http_request","Num of get request","Num of post request","Num requests between first html response and malware response","if_there_other_format_between_exe_html","if exist fake_format(Pretending action)","if exist refer_header_for_malware_request","entropy_of_downloadmalware_url","request_parameters","request_parameters_length","Get or Post request","Have_exe_file","entropy_of_exe_file","suspicious functions","vt positive results","availability","DN entropy","result"
"104","48","4","43","1","0","0","0.69418861","1","77","0","1","3.62152656","3","52","1","0.428952942","0"
"192","88","8","33","1","0","0","0.523640685","1","27","0","1","6.542136671","1","54","1","0.465201456","0"
"464","232","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"920","460","0","165","1","0","0","0.689327549","3","110","0","1","6.826169117","2","55","0","0.378396143","0"
"1016","500","8","165","1","0","0","0.689327549","3","110","0","1","6.826169117","2","55","0","0.378396143","0"
"40","20","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"424","212","0","115","1","0","0","0.672911776","3","113","0","1","7.049382617","0","56","0","0.378373342","0"
"536","264","4","41","1","0","0","0.56377204","1","30","0","1","6.719750635","4","53","0","0.493899297","0"
"576","284","4","41","1","0","0","0.56377204","1","30","0","1","6.719750635","4","53","0","0.493899297","0"
"960","476","4","115","1","0","0","0.672911776","3","113","0","1","7.049382617","0","56","0","0.378373342","0"
"80","36","4","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"320","156","4","113","0","0","0","0.500283501","1","17","0","1","6.7481061","14","48","0","0.415607877","0"
"440","196","24","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"312","156","0","0","1","1","0","0","0","0","0","1","5.835148735","0","46","-1","-1","0"
"968","480","4","0","1","1","0","0.493068602","1","18","0","1","6.830935585","2","58","0","0.415607877","0"
"1192","584","12","105","1","1","0","0.572224702","1","17","0","1","7.802545221","5","49","0","0.544561561","0"
"144","72","0","45","1","0","0","0.690155219","4","127","0","1","6.776246862","1","56","0","0.452043561","0"
"112","56","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"320","160","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"112","56","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"312","156","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"408","204","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"344","168","0","169","1","0","0","0.702356394","1","73","0","1","7.345213243","0","57","1","0.465685076","0"
"696","340","0","163","1","0","0","0.687720375","1","73","0","1","7.345213243","0","57","1","0.465685076","0"
"1040","508","0","169","1","0","0","0.706641306","1","73","0","1","7.345213243","0","57","1","0.465685076","0"
"1136","556","0","37","1","0","0","0.523248255","5","65","0","1","-1","-1","57","0","0.378373342","0"
"208","100","4","93","1","1","0","0.589194851","1","17","0","1","7.845313234","5","50","0","0.58523509","0"
"200","84","16","83","1","0","0","0.450323592","1","12","0","1","7.095953325","5","51","0","0.407991675","0"
"240","104","16","71","1","0","0","0.517405192","1","17","0","1","6.79389407","5","50","0","0.530482033","0"
"544","264","8","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"656","320","8","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"168","48","36","27","1","0","0","0.489358289","1","12","0","1","6.788883783","5","52","0","0.432428963","0"
"288","108","36","27","1","0","0","0.489358289","1","12","0","1","6.788883783","5","52","0","0.432428963","0"
"424","176","36","63","1","0","0","0.662944878","1","73","0","1","6.62377901","6","51","0","0.486021493","0"
"544","236","36","57","1","0","0","0.69100929","1","73","0","1","6.62377901","6","51","0","0.502962313","0"
"568","236","48","57","1","0","0","0.69100929","1","73","0","1","6.62377901","6","51","0","0.502962313","0"
"152","72","4","61","1","0","0","0.558082717","1","31","0","1","6.979111692","2","52","1","0.452109322","0"
"16","8","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"240","108","12","77","1","0","0","0.701195231","4","124","0","1","6.846300939","9","56","0","0.415403936","0"
"24","8","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"168","80","4","45","1","0","0","0.520247256","1","9","0","1","6.835956489","1","53","0","0.422697557","0"
"192","92","4","45","1","0","0","0.520247256","1","9","0","1","6.835956489","1","53","0","0.422697557","0"
"8","0","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"104","48","4","33","1","0","0","0.684094475","1","73","0","1","6.772962871","5","52","0","0.476884034","0"
"216","104","4","47","1","0","0","0.552949643","1","27","0","1","6.658465417","0","51","0","0.466519868","0"
