Sample_name,Num_of_http_request,Num of get request,Num of post request,Num requests between first html response and malware response,Time between first html response and malware response,if_there_other_format_between_exe_html,download_malware_time,if exist fake_format(Pretending action),if exist refer_header_for_malware_request,entropy_of_downloadmalware_url,request_parameters,request_parameters_length,Get or Post request,Have_exe_file,entropy_of_exe_file,suspicious functions,vt positive results,Domain_name,availability,DN entropy,creation date,expiration date,lifetime,country,emails entropy,result
2014/04/01/2014-04-01-Fiesta-EK-traffic,280,132,8,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/01/2014-04-01-Fiesta-EK-traffic,392,188,8,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/02/2014-04-02-Goon-EK-traffic,328,160,4,103,43 days: 12:54:48,TRUE,0:00:00,FALSE,FALSE,0.485022501,1,9,FALSE,TRUE,7.412926507,5,40,irp-ecole.be,0,0.398590237,,,,,,0
2014/04/03/2014-04-03-FlashPack-EK-traffic,168,76,4,73,0:00:15,TRUE,0:00:00,FALSE,FALSE,0.574441672,1,16,FALSE,TRUE,7.811187589,5,47,dqpo63edlc6eurmpd42wbl9.forexforum.gen.tr,0,0.540838312,,,,,,0
2014/04/04/2014-04-04-Fiesta-EK-traffic,96,48,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/05/2014-04-05-Fiesta-EK-traffic,96,44,4,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/06/2014-04-06-Goon-EK-traffic,104,52,0,31,0:00:05,TRUE,0:00:00,FALSE,FALSE,0.473117739,1,9,FALSE,TRUE,6.29533863,3,47,fonsprom.com,0,0.377756903,1051502400,1493352000,441849600,124,0.473594371,0
2014/04/07/2014-04-07-Nuclear-EK-traffic,80,36,4,29,1:04:45,TRUE,0:00:00,FALSE,FALSE,0.540451626,1,15,FALSE,TRUE,7.347806619,1,55,514699071-8.dysteriew.ru,0,0.521036982,,,,,,0
2014/04/08/2014-04-08-Fiesta-EK-traffic,32,16,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/09/2014-04-09-Nuclear-EK-traffic,176,88,0,75,0:01:02,TRUE,0:00:00,FALSE,FALSE,0.549602577,1,17,FALSE,TRUE,7.161308122,5,48,1738897631-5.foyilleavrt.ru,0,0.529546132,,,,,,0
2014/04/10/2014-04-10-Nuclear-EK-traffic,152,72,4,47,1:04:54,TRUE,0:00:00,FALSE,FALSE,0.525153963,1,15,FALSE,TRUE,7.437804192,1,53,3803532846-8.treywoo.ru,0,0.48115299,,,,,,0
2014/04/11/2014-04-11-Fiesta-EK-traffic,224,108,4,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/12/2014-04-12-FlashPack-EK-traffic,208,92,8,71,0:02:42,TRUE,0:00:00,FALSE,FALSE,0.51473263,1,23,FALSE,TRUE,7.858764584,5,51,kliftpres.com,1,0.462554948,,,,,,0
2014/04/13/2014-04-13-FlashPack-EK-traffic,176,76,8,87,0:02:52,TRUE,0:00:00,FALSE,FALSE,0.516090567,1,23,FALSE,TRUE,7.870137026,5,48,weoikcus.org,0,0.427286982,,,,,,0
2014/04/14/2014-04-14-Magnitude-EK-traffic,0,0,0,0,0,FALSE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/15/2014-04-15-Goon-EK-exploit-examples,48,24,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/15/2014-04-15-Goon-EK-exploit-examples,104,52,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/15/2014-04-15-Goon-EK-exploit-examples,280,140,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/15-part-2/2014-04-15-Magnitude-EK-traffic,0,0,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/16/2014-04-16-Fiesta-EK-traffic,208,100,4,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/04/16-part-2/2014-04-16-Magnitude-EK-traffic,0,0,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
